|model   |w_bit  |f bit  |f Qscheme         |groupsize|top1 acc|top5 acc|remark           |
|---     |---    |---    |---               |---      |---     |---     |---              |
|resnet18|float32|float32| /                |/        |69.760  |89.082  |float baseline   |
|resnet18|8      |8      |per-tensor-affine |/        |69.552  |89.022  |                 |
|resnet18|4      |4      |per-tensor-affine |/        |25.886  |46.428  |                 |
|resnet18|4      |4      |per-tensor-affine |/        |31.412  |55.132  |w: mse observer  |
|resnet18|4      |4      |per-tensor-affine |/        |54.498  |78.864  |w/f: mse observer|
|resnet18|4      |4      |per-group-affine  |128      |54.532  |79.016  |w/f: mse observer|
|resnet18|4      |4      |per-group-affine  |64       |54.514  |78.936  |w/f: mse observer|
|resnet18|4      |4      |per-group-affine  |32       |54.464  |78.860  |w/f: mse observer|
|resnet18|4      |4      |per-group-affine  |32       |39.782  |64.780  |                 |
|resnet18|4      |4      |per-group-affine  |16       |54.596  |78.878  |w/f: mse observer|
|resnet18|4      |4      |per-group-affine  |16       |42.686  |67.942  |                 |
|resnet18|4      |4      |per-group-affine  |8        |54.752  |79.184  |w/f: mse observer|
|resnet18|4      |4      |per-group-affine  |4        |54.712  |79.116  |w/f: mse observer|


|model   |w_bit  |f bit  |f Qscheme         |groupsize|top1 acc|top5 acc|remark           |
|---     |---    |---    |---               |---      |---     |---     |---              |
|resnet18|float32|float32| /                |/        |69.760  |89.082  |float baseline   |
|resnet18|8      |4      |per-tensor-affine |/        |67.694  |87.960  |f: mse observer  |
|resnet18|8      |4      |per-group-affine  |32       |67.646  |87.840  |f: mse observer  |
|resnet18|8      |4      |per-group-affine  |16       |67.738  |87.872  |f: mse observer  |
|resnet18|8      |4      |per-group-affine  |8        |67.982  |87.950  |f: mse observer  |
|resnet18|8      |4      |per-group-affine  |4        |68.072  |88.012  |f: mse observer  |

|model   |w_bit  |f bit  |w Qscheme         |groupsize|top1 acc|top5 acc|remark           |
|---     |---    |---    |---               |---      |---     |---     |---              |
|resnet18|float32|float32| /                |/        |69.760  |89.082  |float baseline   |
|resnet18|4      |8      |per-channel-symmetric |/        |57.662  |81.274  |w: mse observer  |
|resnet18|4      |8      |per-group-symmetric  |128      |58.088  |81.588  |w: mse observer  |
|resnet18|4      |8      |per-group-symmetric  |64       |59.650  |82.864  |w: mse observer  |
|resnet18|4      |8      |per-group-symmetric  |32       |62.154  |84.636  |w: mse observer  |
